name,timestamp,value,endpoint,instance,job,namespace,pod,service
process_cpu_seconds_total,1609401268.392,14406.69,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609401868.392,14414.92,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609402468.392,14424.17,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609403068.392,14432.72,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609403668.392,14442.1,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609404268.392,14451.42,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609404868.392,14458.69,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609405468.392,14464.78,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609406068.392,14471.23,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609406668.392,14478.87,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609407268.392,14487.22,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609407868.392,14496.11,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609408468.392,14504.23,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609409068.392,14512.92,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609409668.392,14524.5,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
